scenario,eta,n_runs,va_mean,va_std,va_sem
none,0.0,2,0.9999999999913816,3.0027233236360166e-12,2.1232460241700353e-12
none,1.0,2,0.9531715904424849,0.00019237036177626365,0.00013602638731130545
none,2.0,2,0.8190630298205044,0.0007102302932173605,0.0005022086565381055
none,3.0,2,0.6112488503387141,0.003924933639009402,0.0027753471918507406
none,4.0,2,0.36534465715218956,0.011548938111706,0.008166332454291074
none,5.0,2,0.06012768745195776,0.0004533099261100944,0.00032053852273162056
none,6.0,2,0.03199587585512131,0.0007898860307910628,0.0005585337687368866
fixed,0.0,2,0.9982070115248103,0.0010736921690697474,0.0007592150136561113
fixed,1.0,2,0.9514300124510966,0.00041542577474045346,0.0002937503823986498
fixed,2.0,2,0.8183053802511432,0.002756062985287857,0.0019488308262742835
fixed,3.0,2,0.5995986653546985,0.006680184834586822,0.004723603996115877
fixed,4.0,2,0.3292057647834258,0.02382498481473055,0.016846808324162493
fixed,5.0,2,0.05808007668234741,0.0038514473172343317,0.002723384515399132
fixed,6.0,2,0.032418286090245885,0.0011489200638564406,0.0008124091681941703
circular,0.0,2,0.9985682450675087,0.001824642550997293,0.0012902171210517066
circular,1.0,2,0.9498926137530277,0.0020474483063392403,0.0014477645815413884
circular,2.0,2,0.8065027459045899,0.0018612990875443442,0.0013161372066189392
circular,3.0,2,0.6132830290178178,0.0035081352258841464,0.0024806262075420804
circular,4.0,2,0.35661191862437747,0.009910391975807656,0.00700770537031034
circular,5.0,2,0.05613412076536163,0.003020725449045122,0.0021359754491225846
circular,6.0,2,0.0324802477371685,0.002258888117227503,0.0015972751056332801
