Resumen TP2 - punto c/d: va vs eta
Criterio estacionario: t >= 500
Parametros: L=10.0, rho=8.0, r0=1.0, v0=0.03, tmax=750, runs/eta=2

scenario, eta, n_runs, va_mean, va_std, va_sem
none, 0.000000, 2, 1.000000, 0.000000, 0.000000
none, 1.000000, 2, 0.953172, 0.000192, 0.000136
none, 2.000000, 2, 0.819063, 0.000710, 0.000502
none, 3.000000, 2, 0.611249, 0.003925, 0.002775
none, 4.000000, 2, 0.365345, 0.011549, 0.008166
none, 5.000000, 2, 0.060128, 0.000453, 0.000321
none, 6.000000, 2, 0.031996, 0.000790, 0.000559
fixed, 0.000000, 2, 0.998207, 0.001074, 0.000759
fixed, 1.000000, 2, 0.951430, 0.000415, 0.000294
fixed, 2.000000, 2, 0.818305, 0.002756, 0.001949
fixed, 3.000000, 2, 0.599599, 0.006680, 0.004724
fixed, 4.000000, 2, 0.329206, 0.023825, 0.016847
fixed, 5.000000, 2, 0.058080, 0.003851, 0.002723
fixed, 6.000000, 2, 0.032418, 0.001149, 0.000812
circular, 0.000000, 2, 0.998568, 0.001825, 0.001290
circular, 1.000000, 2, 0.949893, 0.002047, 0.001448
circular, 2.000000, 2, 0.806503, 0.001861, 0.001316
circular, 3.000000, 2, 0.613283, 0.003508, 0.002481
circular, 4.000000, 2, 0.356612, 0.009910, 0.007008
circular, 5.000000, 2, 0.056134, 0.003021, 0.002136
circular, 6.000000, 2, 0.032480, 0.002259, 0.001597
