scenario,eta,n_runs,va_mean,va_std,va_sem
none,0.0,2,0.9999999999969911,4.254087012905114e-12,3.00809377458283e-12
none,0.6,2,0.9801542574568336,0.001544922554877919,0.0010924252149622227
none,1.2,2,0.9233530442836939,0.0016031606591257691,0.0011336057733993266
none,1.8,2,0.8131556981986592,0.0008297640989872366,0.0005867318211790206
none,2.4,2,0.7182642330888667,0.011169603032155983,0.007898102047199318
none,3.0,2,0.5442307903303308,0.0028086363071689485,0.0019860057786859064
fixed,0.0,2,0.9962643230200907,0.0009212672125358325,0.0006514342932689154
fixed,0.6,2,0.9795086074960271,0.0029872132140578126,0.002112278720510341
fixed,1.2,2,0.9240611705867049,0.002504652386441672,0.0017710566869679754
fixed,1.8,2,0.8136175872558097,0.006903747782517786,0.004881686872619916
fixed,2.4,2,0.6829450141743487,0.02120965818189048,0.0149974931270635
fixed,3.0,2,0.47243866005414004,0.07218387940403351,0.05104171061894405
circular,0.0,2,0.9950483124084468,0.003726384497833019,0.0026349517477261553
circular,0.6,2,0.9767279488159486,0.00209159737290255,0.001478982685891361
circular,1.2,2,0.9138298107326818,0.008060790554450671,0.005699839662776539
circular,1.8,2,0.8198000023906574,0.014885754592578767,0.010525818015491238
circular,2.4,2,0.6786042036323446,0.02389355062135229,0.01689529167098225
circular,3.0,2,0.520285274866543,0.06082176068456021,0.04300747942375787
