Resumen TP2 - punto c/d: va vs eta
Criterio estacionario: t >= 132
Parametros: L=10.0, rho=4.0, r0=1.0, v0=0.03, tmax=220, runs/eta=2

scenario, eta, n_runs, va_mean, va_std, va_sem
none, 0.000000, 2, 0.999662, 0.000122, 0.000086
none, 0.600000, 2, 0.978885, 0.003114, 0.002202
none, 1.200000, 2, 0.911836, 0.016536, 0.011693
none, 1.800000, 2, 0.831861, 0.005378, 0.003803
none, 2.400000, 2, 0.727700, 0.008197, 0.005796
none, 3.000000, 2, 0.592376, 0.012752, 0.009017
fixed, 0.000000, 2, 0.986119, 0.003346, 0.002366
fixed, 0.600000, 2, 0.966896, 0.007241, 0.005120
fixed, 1.200000, 2, 0.908421, 0.004551, 0.003218
fixed, 1.800000, 2, 0.835523, 0.011447, 0.008095
fixed, 2.400000, 2, 0.703628, 0.002047, 0.001448
fixed, 3.000000, 2, 0.553001, 0.005655, 0.003999
circular, 0.000000, 2, 0.985598, 0.017234, 0.012186
circular, 0.600000, 2, 0.974158, 0.011035, 0.007803
circular, 1.200000, 2, 0.917415, 0.000813, 0.000575
circular, 1.800000, 2, 0.801351, 0.040007, 0.028289
circular, 2.400000, 2, 0.712518, 0.014226, 0.010059
circular, 3.000000, 2, 0.553369, 0.005588, 0.003952
