Resumen TP2 - punto c/d: va vs eta
Criterio estacionario: t >= 175
Parametros: L=10.0, rho=4.0, r0=1.0, v0=0.03, tmax=1000, runs/eta=2

scenario, eta, n_runs, va_mean, va_std, va_sem
none, 0.000000, 2, 0.999992, 0.000002, 0.000002
none, 0.600000, 2, 0.980571, 0.000770, 0.000544
none, 1.200000, 2, 0.919554, 0.001111, 0.000786
none, 1.800000, 2, 0.823698, 0.001669, 0.001180
none, 2.400000, 2, 0.699765, 0.000567, 0.000401
none, 3.000000, 2, 0.547909, 0.011587, 0.008193
fixed, 0.000000, 2, 0.993404, 0.001410, 0.000997
fixed, 0.600000, 2, 0.979298, 0.003078, 0.002177
fixed, 1.200000, 2, 0.917214, 0.005787, 0.004092
fixed, 1.800000, 2, 0.825872, 0.006958, 0.004920
fixed, 2.400000, 2, 0.691493, 0.010519, 0.007438
fixed, 3.000000, 2, 0.503566, 0.011924, 0.008432
circular, 0.000000, 2, 0.990745, 0.000979, 0.000692
circular, 0.600000, 2, 0.974920, 0.003640, 0.002574
circular, 1.200000, 2, 0.907833, 0.002524, 0.001785
circular, 1.800000, 2, 0.819484, 0.011647, 0.008236
circular, 2.400000, 2, 0.684623, 0.004302, 0.003042
circular, 3.000000, 2, 0.537780, 0.014439, 0.010210
