Resumen TP2 - punto c/d: va vs eta
Criterio estacionario: t >= 500
Parametros: L=10.0, rho=4.0, r0=1.0, v0=0.03, tmax=750, runs/eta=2

scenario, eta, n_runs, va_mean, va_std, va_sem
none, 0.000000, 2, 1.000000, 0.000000, 0.000000
none, 1.000000, 2, 0.945194, 0.001101, 0.000779
none, 2.000000, 2, 0.773947, 0.010958, 0.007749
none, 3.000000, 2, 0.539876, 0.037322, 0.026391
none, 4.000000, 2, 0.210892, 0.058163, 0.041128
none, 5.000000, 2, 0.058509, 0.003261, 0.002306
none, 6.000000, 2, 0.045739, 0.001514, 0.001070
fixed, 0.000000, 2, 0.998488, 0.000813, 0.000575
fixed, 1.000000, 2, 0.939155, 0.004300, 0.003041
fixed, 2.000000, 2, 0.770339, 0.000064, 0.000045
fixed, 3.000000, 2, 0.547126, 0.001176, 0.000832
fixed, 4.000000, 2, 0.236284, 0.067074, 0.047428
fixed, 5.000000, 2, 0.060216, 0.005450, 0.003854
fixed, 6.000000, 2, 0.044552, 0.001283, 0.000907
circular, 0.000000, 2, 0.993662, 0.006237, 0.004410
circular, 1.000000, 2, 0.936262, 0.000752, 0.000532
circular, 2.000000, 2, 0.772530, 0.007207, 0.005096
circular, 3.000000, 2, 0.549276, 0.029008, 0.020512
circular, 4.000000, 2, 0.225843, 0.001099, 0.000777
circular, 5.000000, 2, 0.061243, 0.004981, 0.003522
circular, 6.000000, 2, 0.045421, 0.000314, 0.000222
