scenario,eta,n_runs,va_mean,va_std,va_sem
none,0.0,2,0.9751534516433724,0.03513685963421777,0.024845511716955256
none,1.0,2,0.943862521034358,0.00388673018763043,0.0027483332723159393
none,2.0,2,0.7265261085267884,0.0008191688071691317,0.0005792398184857883
none,3.0,2,0.3277577881146836,0.09865805058676741,0.06976177658854868
fixed,0.0,2,0.9925537734613288,0.009813799910316487,0.006939404465792719
fixed,1.0,2,0.9143336987479315,0.017683834088271677,0.01250435900119473
fixed,2.0,2,0.7286169544500867,0.06089326641099364,0.043058041607812625
fixed,3.0,2,0.38711734260329705,0.04038488811634236,0.0285564282445257
circular,0.0,2,0.9667551108908281,0.042027956133404855,0.029718252781341322
circular,1.0,2,0.9063718494043236,0.020550435773268073,0.014531352491616465
circular,2.0,2,0.663706466766583,0.07087357347655424,0.05011518441219453
circular,3.0,2,0.35045657027001764,0.03745743588379843,0.026486406919294186
