Resumen TP2 - punto c/d: va vs eta
Criterio estacionario: t >= 250
Parametros: L=10.0, rho=2.0, r0=1.0, v0=0.03, tmax=400, runs/eta=2

scenario, eta, n_runs, va_mean, va_std, va_sem
none, 0.000000, 2, 0.975153, 0.035137, 0.024846
none, 1.000000, 2, 0.943863, 0.003887, 0.002748
none, 2.000000, 2, 0.726526, 0.000819, 0.000579
none, 3.000000, 2, 0.327758, 0.098658, 0.069762
fixed, 0.000000, 2, 0.992554, 0.009814, 0.006939
fixed, 1.000000, 2, 0.914334, 0.017684, 0.012504
fixed, 2.000000, 2, 0.728617, 0.060893, 0.043058
fixed, 3.000000, 2, 0.387117, 0.040385, 0.028556
circular, 0.000000, 2, 0.966755, 0.042028, 0.029718
circular, 1.000000, 2, 0.906372, 0.020550, 0.014531
circular, 2.000000, 2, 0.663706, 0.070874, 0.050115
circular, 3.000000, 2, 0.350457, 0.037457, 0.026486
