# t theta_S theta_L C
0 2.59487833 1.57079633 0.51988329
1 2.57508656 1.57679633 0.54174024
2 2.59188530 1.58279633 0.53263199
3 2.57789039 1.58879633 0.54944702
4 2.58356232 1.59479633 0.54972110
5 2.60179889 1.60079633 0.53945841
6 2.62028900 1.60679633 0.52889978
7 2.61990038 1.61279633 0.53431087
8 2.62472293 1.61879633 0.53530578
9 2.63253338 1.62479633 0.53377570
10 2.61754135 1.63079633 0.55140819
11 2.59298368 1.63679633 0.57663910
12 2.60519283 1.64279633 0.57155515
13 2.60413770 1.64879633 0.57733006
14 2.58483498 1.65479633 0.59780299
15 2.59240982 1.66079633 0.59653979
16 2.57780279 1.66679633 0.61295083
17 2.57865439 1.67279633 0.61701055
18 2.57006896 1.67879633 0.62842259
19 2.55768995 1.68479633 0.64261217
20 2.55140767 1.69079633 0.65197405
21 2.52215950 1.69679633 0.67829015
22 2.50566219 1.70279633 0.69464801
23 2.51004755 1.70879633 0.69580859
24 2.48227879 1.71479633 0.71966094
25 2.47353453 1.72079633 0.72981966
26 2.49188579 1.72679633 0.72132040
27 2.47670858 1.73279633 0.73582493
28 2.48661279 1.73879633 0.73317551
29 2.48574718 1.74479633 0.73782708
30 2.48913308 1.75079633 0.73958905
31 2.50642494 1.75679633 0.73194197
32 2.51705399 1.76279633 0.72878006
33 2.52026787 1.76879633 0.73068501
34 2.53039078 1.77479633 0.72786404
35 2.51046315 1.78079633 0.74539655
36 2.50493388 1.78679633 0.75303249
37 2.50469320 1.79279633 0.75712407
38 2.51063060 1.79879633 0.75716496
39 2.51944785 1.80479633 0.75532166
40 2.52342500 1.81079633 0.75664580
41 2.53273353 1.81679633 0.75447847
42 2.52937861 1.82279633 0.76058522
43 2.52101693 1.82879633 0.76983062
44 2.50283122 1.83479633 0.78504045
45 2.49483081 1.84079633 0.79363571
46 2.48342607 1.84679633 0.80410390
47 2.46965587 1.85279633 0.81569915
48 2.45017093 1.85879633 0.83017512
49 2.43596091 1.86479633 0.84127196
50 2.43493528 1.87079633 0.84504930
51 2.40684178 1.87679633 0.86278409
52 2.41795147 1.88279633 0.86018952
53 2.42072976 1.88879633 0.86182805
54 2.42059360 1.89479633 0.86492406
55 2.41896160 1.90079633 0.86872936
56 2.43566364 1.90679633 0.86337913
57 2.45599400 1.91279633 0.85606026
58 2.46933006 1.91879633 0.85224542
59 2.45283038 1.92479633 0.86379926
60 2.44838830 1.93079633 0.86901316
61 2.45670989 1.93679633 0.86786213
62 2.46405328 1.94279633 0.86719394
63 2.45687390 1.94879633 0.87368138
64 2.48334079 1.95479633 0.86354198
65 2.48828778 1.96079633 0.86407251
66 2.45171720 1.96679633 0.88471184
67 2.44655690 1.97279633 0.88985888
68 2.42894123 1.97879633 0.90038406
69 2.42252975 1.98479633 0.90571476
70 2.41862315 1.99079633 0.90986954
71 2.40092238 1.99679633 0.91944640
72 2.37980357 2.00279633 0.92977055
73 2.38629640 2.00879633 0.92958901
74 2.38506071 2.01479633 0.93223171
75 2.38930175 2.02079633 0.93286677
76 2.38796872 2.02679633 0.93548318
77 2.40031680 2.03279633 0.93322111
78 2.39530084 2.03879633 0.93712247
79 2.39164328 2.04479633 0.94044922
80 2.38244377 2.05079633 0.94550722
81 2.42338495 2.05679633 0.93355553
82 2.43692716 2.06279633 0.93082562
83 2.41839624 2.06879633 0.93950983
84 2.40330132 2.07479633 0.94652573
85 2.39158197 2.08079633 0.95209361
86 2.38986402 2.08679633 0.95442543
87 2.40514848 2.09279633 0.95161339
88 2.41184352 2.09879633 0.95139958
89 2.41751668 2.10479633 0.95150018
90 2.40452565 2.11079633 0.95717081
91 2.40001108 2.11679633 0.96016206
92 2.39567117 2.12279633 0.96300010
93 2.39016459 2.12879633 0.96603732
94 2.41038378 2.13479633 0.96226551
95 2.41121294 2.14079633 0.96365969
96 2.41285037 2.14679633 0.96481590
97 2.41438853 2.15279633 0.96597943
98 2.43633575 2.15879633 0.96173252
99 2.44552647 2.16479633 0.96085340
100 2.46095055 2.17079633 0.95819976
101 2.46331475 2.17679633 0.95923363
102 2.46288996 2.18279633 0.96102956
103 2.47917910 2.18879633 0.95813435
104 2.47475715 2.19479633 0.96106626
105 2.47239723 2.20079633 0.96334265
106 2.45323854 2.20679633 0.96978650
107 2.45468401 2.21279633 0.97088754
108 2.46958564 2.21879633 0.96871684
109 2.46117409 2.22479633 0.97219262
110 2.45485043 2.23079633 0.97500471
111 2.48481937 2.23679633 0.96939963
112 2.46810729 2.24279633 0.97472468
113 2.44499590 2.24879633 0.98081453
114 2.43835022 2.25479633 0.98320123
115 2.43153562 2.26079633 0.98545942
116 2.43018949 2.26679633 0.98668101
117 2.45534566 2.27279633 0.98338409
118 2.44497082 2.27879633 0.98622476
119 2.44958754 2.28479633 0.98645263
120 2.43754651 2.29079633 0.98925150
121 2.44394087 2.29679633 0.98919376
122 2.46187715 2.30279633 0.98737331
123 2.43751876 2.30879633 0.99172670
124 2.45182446 2.31479633 0.99062633
125 2.43710756 2.32079633 0.99324347
126 2.43707635 2.32679633 0.99392532
127 2.44714902 2.33279633 0.99346885
128 2.45072641 2.33879633 0.99374237
129 2.45189575 2.34479633 0.99427034
130 2.44757112 2.35079633 0.99532097
131 2.44901932 2.35679633 0.99575047
132 2.44670393 2.36279633 0.99648182
133 2.44966292 2.36879633 0.99673208
134 2.42740847 2.37479633 0.99861630
135 2.42190835 2.38079633 0.99915502
136 2.44222979 2.38679633 0.99846396
137 2.45364060 2.39279633 0.99814956
138 2.44709640 2.39879633 0.99883378
139 2.45766786 2.40479633 0.99860263
140 2.46027114 2.41079633 0.99877637
141 2.45823061 2.41679633 0.99914172
142 2.47808225 2.42279633 0.99847212
143 2.48049404 2.42879633 0.99866397
144 2.48639858 2.43479633 0.99866890
145 2.49241921 2.44079633 0.99866783
146 2.51251236 2.44679633 0.99784148
147 2.49436633 2.45279633 0.99913609
148 2.48311374 2.45879633 0.99970435
149 2.49792540 2.46479633 0.99945128
150 2.47701789 2.47079633 0.99998065
151 2.50019908 2.47679633 0.99972617
152 2.48633204 2.48279633 0.99999375
153 2.46388288 2.48879633 0.99968968
154 2.49844807 2.49479633 0.99999333
155 2.49604865 2.50079633 0.99998873
156 2.49919012 2.50679633 0.99997107
157 2.50029765 2.51279633 0.99992189
158 2.47412480 2.51879633 0.99900239
159 2.49188020 2.52479633 0.99945831
160 2.48247484 2.53079633 0.99883274
161 2.48431346 2.53679633 0.99862309
162 2.48873422 2.54279633 0.99853900
163 2.50335609 2.54879633 0.99896777
164 2.50281713 2.55479633 0.99864939
165 2.51334621 2.56079633 0.99887445
166 2.49423381 2.56679633 0.99736850
167 2.50942526 2.57279633 0.99799273
168 2.51672610 2.57879633 0.99807426
169 2.51289643 2.58479633 0.99741632
170 2.50811808 2.59079633 0.99658410
171 2.50706086 2.59679633 0.99597647
172 2.51072854 2.60279633 0.99576475
173 2.49909060 2.60879633 0.99398836
174 2.50393879 2.61479633 0.99386159
175 2.49469492 2.62079633 0.99205975
176 2.47228691 2.62679633 0.98808715
177 2.45407690 2.63279633 0.98407215
178 2.45705828 2.63879633 0.98353105
179 2.43149955 2.64479633 0.97733836
180 2.40995650 2.65079633 0.97113800
181 2.42505656 2.65679633 0.97326829
182 2.42032307 2.66279633 0.97074711
183 2.41539230 2.66879633 0.96806464
184 2.41009231 2.67479633 0.96516998
185 2.40323678 2.68079633 0.96172701
186 2.38028020 2.68679633 0.95339057
187 2.40072605 2.69279633 0.95764982
188 2.38696007 2.69879633 0.95177180
189 2.36805292 2.70479633 0.94383570
190 2.34951542 2.71079633 0.93544482
191 2.34096588 2.71679633 0.93020313
192 2.32633374 2.72279633 0.92243276
193 2.33040982 2.72879633 0.92168812
194 2.32885515 2.73479633 0.91873115
195 2.30898247 2.74079633 0.90820811
196 2.30163598 2.74679633 0.90254163
197 2.32165336 2.75279633 0.90848869
198 2.33059638 2.75879633 0.90971467
199 2.35080276 2.76479633 0.91552164
200 2.36165282 2.77079633 0.91746189
201 2.36347009 2.77679633 0.91578988
202 2.37951201 2.78279633 0.91977705
203 2.38267251 2.78879633 0.91865901
204 2.37003060 2.79479633 0.91113530
205 2.37927766 2.80079633 0.91246864
206 2.39073844 2.80679633 0.91468928
207 2.38064347 2.81279633 0.90806618
208 2.38877567 2.81879633 0.90895714
209 2.37601580 2.82479633 0.90097686
210 2.40109315 2.83079633 0.90908945
211 2.40722041 2.83679633 0.90914245
212 2.41315400 2.84279633 0.90911480
213 2.40670477 2.84879633 0.90385881
214 2.39975669 2.85479633 0.89824361
215 2.39497811 2.86079633 0.89345436
216 2.40008225 2.86679633 0.89305162
217 2.38931955 2.87279633 0.88538406
218 2.36477892 2.87879633 0.87077626
219 2.36818912 2.88479633 0.86949999
220 2.37522663 2.89079633 0.87001199
221 2.40023076 2.89679633 0.87922394
222 2.40130489 2.90279633 0.87686655
223 2.40048831 2.90879633 0.87356925
224 2.41538137 2.91479633 0.87786290
225 2.41476350 2.92079633 0.87467432
226 2.41572519 2.92679633 0.87222110
227 2.41897630 2.93279633 0.87087329
228 2.40658262 2.93879633 0.86168585
229 2.39818374 2.94479633 0.85429019
230 2.37357844 2.95079633 0.83798408
231 2.37394172 2.95679633 0.83489485
232 2.39002804 2.96279633 0.84040390
233 2.41025995 2.96879633 0.84803166
234 2.39407794 2.97479633 0.83606874
235 2.39867587 2.98079633 0.83529871
236 2.38054022 2.98679633 0.82178702
237 2.36951519 2.99279633 0.81196763
238 2.36509576 2.99879633 0.80584181
239 2.36400165 3.00479633 0.80162093
240 2.36662110 3.01079633 0.79959535
241 2.37220522 3.01679633 0.79934553
242 2.37498129 3.02279633 0.79740421
243 2.40511560 3.02879633 0.81173432
244 2.38292170 3.03479633 0.79494790
245 2.37954824 3.04079633 0.78922639
246 2.36773436 3.04679633 0.77816221
247 2.36021357 3.05279633 0.76959943
248 2.34371778 3.05879633 0.75504174
249 2.33633820 3.06479633 0.74620174
250 2.34175869 3.07079633 0.74581583
251 2.33469178 3.07679633 0.73704785
252 2.33963971 3.08279633 0.73633642
253 2.35312900 3.08879633 0.74138308
254 2.35609499 3.09479633 0.73934361
255 2.34795803 3.10079633 0.72975123
256 2.34264895 3.10679633 0.72197257
257 2.32787091 3.11279633 0.70744098
258 2.32826535 3.11879633 0.70346803
259 2.34206222 3.12479633 0.70898804
260 2.34496555 3.13079633 0.70680081
261 2.36326384 3.13679633 0.71544711
262 2.36593795 3.14279633 0.71311946
263 2.38220367 3.14879633 0.72027847
264 2.39866099 3.15479633 0.72749304
265 2.38349200 3.16079633 0.71280677
266 2.37923530 3.16679633 0.70557575
267 2.38330290 3.17279633 0.70420507
268 2.37996595 3.17879633 0.69754527
269 2.36784681 3.18479633 0.68444838
270 2.36178001 3.19079633 0.67560132
271 2.34863997 3.19679633 0.66136711
272 2.36878734 3.20279633 0.67191199
273 2.35365808 3.20879633 0.65611419
274 2.34932892 3.21479633 0.64828431
275 2.33005293 3.22079633 0.62883418
276 2.32577701 3.22679633 0.62081119
277 2.31124528 3.23279633 0.60458541
278 2.29611411 3.23879633 0.58761986
279 2.28812481 3.24479633 0.57624347
280 2.30245305 3.25079633 0.58302990
281 2.31406428 3.25679633 0.58757954
282 2.30621230 3.26279633 0.57631497
283 2.31726606 3.26879633 0.58043767
284 2.31459104 3.27479633 0.57335180
285 2.32700908 3.28079633 0.57859832
286 2.32839159 3.28679633 0.57482608
287 2.37529377 3.29279633 0.60780524
288 2.38872911 3.29879633 0.61369268
289 2.39041578 3.30479633 0.61028141
290 2.38757824 3.31079633 0.60325671
291 2.37363927 3.31679633 0.58723558
292 2.37580018 3.32279633 0.58412384
293 2.36816381 3.32879633 0.57300172
294 2.37798808 3.33479633 0.57613172
295 2.35145520 3.34079633 0.54924058
296 2.36494543 3.34679633 0.55548443
297 2.36882901 3.35279633 0.55372332
298 2.35554626 3.35879633 0.53756462
299 2.35498895 3.36479633 0.53202383
300 2.35667229 3.37079633 0.52836385
301 2.33143337 3.37679633 0.50158796
302 2.32973828 3.38279633 0.49491611
303 2.31582945 3.38879633 0.47751957
304 2.33210316 3.39479633 0.48652091
305 2.34707507 3.40079633 0.49433970
306 2.34468196 3.40679633 0.48702651
307 2.34409627 3.41279633 0.48126413
308 2.35241170 3.41879633 0.48329249
309 2.36503380 3.42479633 0.48907923
310 2.38790767 3.43079633 0.50372696
311 2.40258669 3.43679633 0.51120538
312 2.39816897 3.44279633 0.50222420
313 2.41727475 3.44879633 0.51351380
314 2.41583964 3.45479633 0.50711974
315 2.41990666 3.46079633 0.50545280
316 2.41628176 3.46679633 0.49712464
317 2.41429659 3.47279633 0.49018029
318 2.42070732 3.47879633 0.49053826
319 2.42438816 3.48479633 0.48851597
320 2.41559196 3.49079633 0.47555248
321 2.41021959 3.49679633 0.46551781
322 2.42303957 3.50279633 0.47154288
323 2.41873997 3.50879633 0.46243540
324 2.42086752 3.51479633 0.45899842
325 2.44693018 3.52079633 0.47672927
326 2.41881240 3.52679633 0.44646640
327 2.41508976 3.53279633 0.43774562
328 2.42365396 3.53879633 0.44004964
329 2.41908713 3.54479633 0.43053653
330 2.41816406 3.55079633 0.42427768
331 2.40860788 3.55679633 0.41014029
332 2.40847699 3.56279633 0.40454111
333 2.41266786 3.56879633 0.40288596
334 2.42167875 3.57479633 0.40563985
335 2.41915458 3.58079633 0.39783383
336 2.41812154 3.58679633 0.39137154
337 2.39687096 3.59279633 0.36615245
338 2.39515744 3.59879633 0.35896378
339 2.41157969 3.60479633 0.36867173
340 2.40177076 3.61079633 0.35393093
341 2.40622644 3.61679633 0.35248615
342 2.39689582 3.62279633 0.33809864
343 2.40106000 3.62879633 0.33637036
344 2.38286121 3.63479633 0.31348537
345 2.39163280 3.64079633 0.31611605
346 2.39299956 3.64679633 0.31171703
347 2.37956390 3.65279633 0.29319204
348 2.38996703 3.65879633 0.29739881
349 2.39792985 3.66479633 0.29927224
350 2.38668873 3.67079633 0.28277766
351 2.36044112 3.67679633 0.25170456
352 2.35286459 3.68279633 0.23854235
353 2.34260480 3.68879633 0.22272111
354 2.34872534 3.69479633 0.22283862
355 2.37148339 3.70079633 0.23914323
356 2.34678835 3.70679633 0.20923087
357 2.35778749 3.71279633 0.21411672
358 2.38134904 3.71879633 0.23123709
359 2.38974165 3.72479633 0.23356419
360 2.42708486 3.73079633 0.26392078
361 2.43563418 3.73679633 0.26637885
362 2.40536168 3.74279633 0.23124939
363 2.40816073 3.74879633 0.22813402
364 2.39056313 3.75479633 0.20509731
365 2.38079112 3.76079633 0.18963572
366 2.39809351 3.76679633 0.20072067
367 2.40255403 3.77279633 0.19921229
368 2.42601832 3.77879633 0.21629528
369 2.40814307 3.78479633 0.19292577
370 2.40318909 3.79079633 0.18216623
371 2.42302055 3.79679633 0.19574840
372 2.44619829 3.80279633 0.21256411
373 2.44456549 3.80879633 0.20509962
374 2.48297231 3.81479633 0.23670427
375 2.48849557 3.82079633 0.23624105
376 2.47726197 3.82679633 0.21946101
377 2.50579089 3.83279633 0.24138315
378 2.50468752 3.83879633 0.23448379
379 2.48749628 3.84479633 0.21187808
380 2.49877731 3.85079633 0.21703624
381 2.50309380 3.85679633 0.21539255
382 2.49516016 3.86279633 0.20176550
383 2.49386958 3.86879633 0.19461956
384 2.49067243 3.87479633 0.18559017
385 2.50084388 3.88079633 0.18968752
386 2.48689255 3.88679633 0.17006196
387 2.47525619 3.89279633 0.15265696
388 2.47036563 3.89879633 0.14188521
389 2.48620995 3.90479633 0.15162290
390 2.45771966 3.91079633 0.11744796
391 2.47322230 3.91679633 0.12687938
392 2.46843820 3.92279633 0.11617527
393 2.44050020 3.92879633 0.08240665
394 2.45089814 3.93479633 0.08678881
395 2.45282078 3.94079633 0.08272613
396 2.43088033 3.94679633 0.05485279
397 2.43404894 3.95279633 0.05202544
398 2.43716948 3.95879633 0.04914967
399 2.43618832 3.96479633 0.04217580
400 2.43315799 3.97079633 0.03315192
401 2.43227720 3.97679633 0.02627418
402 2.41846601 3.98279633 0.00646596
403 2.41368323 3.98879633 -0.00431676
404 2.43719054 3.99479633 0.01319015
405 2.44150885 4.00079633 0.01150860
406 2.44296758 4.00679633 0.00696752
407 2.46916693 4.01279633 0.02716358
408 2.45440790 4.01879633 0.00640786
409 2.42793404 4.02479633 -0.02606301
410 2.42844761 4.03079633 -0.03154715
411 2.41261893 4.03679633 -0.05335572
412 2.41567340 4.04279633 -0.05629682
413 2.40639453 4.04879633 -0.07154429
414 2.40303376 4.05479633 -0.08087780
415 2.40006877 4.06079633 -0.08981005
416 2.40565791 4.06679633 -0.09021925
417 2.40091003 4.07279633 -0.10091789
418 2.39559901 4.07879633 -0.11216446
419 2.40325378 4.08479633 -0.11051998
420 2.39420045 4.09079633 -0.12546801
421 2.38316897 4.09679633 -0.14234588
422 2.38414396 4.10279633 -0.14731790
423 2.39516747 4.10879633 -0.14234736
424 2.42269086 4.11479633 -0.12101183
425 2.43892238 4.12079633 -0.11084935
426 2.44699809 4.12679633 -0.10878619
427 2.46458340 4.13279633 -0.09726259
428 2.46097964 4.13879633 -0.10681618
429 2.45063467 4.14479633 -0.12305266
430 2.45261889 4.15079633 -0.12703691
431 2.46045600 4.15679633 -0.12521447
432 2.48208217 4.16279633 -0.10969663
433 2.47558606 4.16879633 -0.12210844
434 2.46683118 4.17479633 -0.13673908
435 2.48173852 4.18079633 -0.12791009
436 2.50536021 4.18679633 -0.11041421
437 2.52945286 4.19279633 -0.09241509
438 2.50896687 4.19879633 -0.11875224
439 2.50862406 4.20479633 -0.12504773
440 2.49747220 4.21079633 -0.14204573
441 2.50174664 4.21679633 -0.14375358
442 2.49434707 4.22279633 -0.15700068
443 2.48196222 4.22879633 -0.17512997
444 2.50106606 4.23479633 -0.16221398
445 2.48461527 4.24079633 -0.18432468
446 2.47703611 4.24679633 -0.19765377
447 2.49109850 4.25279633 -0.18974410
448 2.50475236 4.25879633 -0.18222379
449 2.49346903 4.26479633 -0.19918969
450 2.51069881 4.27079633 -0.18817262
451 2.51447583 4.27679633 -0.19035542
452 2.55494016 4.28279633 -0.15641492
453 2.53546689 4.28879633 -0.18152118
454 2.50501192 4.29479633 -0.21724198
455 2.51208473 4.30079633 -0.21619466
456 2.50112246 4.30679633 -0.23272389
457 2.50711491 4.31279633 -0.23273123
458 2.48757264 4.31879633 -0.25749352
459 2.49146422 4.32479633 -0.25953027
460 2.50046757 4.33079633 -0.25662867
461 2.51969896 4.33679633 -0.24381831
462 2.50048500 4.34279633 -0.26819124
463 2.51711299 4.34879633 -0.25793764
464 2.49889363 4.35479633 -0.28125953
465 2.50051127 4.36079633 -0.28546226
466 2.48849750 4.36679633 -0.30267924
467 2.46255672 4.37279633 -0.33296219
468 2.47113219 4.37879633 -0.33053257
469 2.46280629 4.38479633 -0.34401890
470 2.41639369 4.39079633 -0.39273743
471 2.39204321 4.39679633 -0.42046411
472 2.39320506 4.40279633 -0.42484888
473 2.42995958 4.40879633 -0.39681140
474 2.40541633 4.41479633 -0.42465761
475 2.38256018 4.42079633 -0.45060223
476 2.37865605 4.42679633 -0.45942165
477 2.36993866 4.43279633 -0.47244367
478 2.33416595 4.43879633 -0.50883767
479 2.34694718 4.44479633 -0.50298830
480 2.32914098 4.45079633 -0.52341937
481 2.31728665 4.45679633 -0.53854837
482 2.32289067 4.46279633 -0.53888198
483 2.30151369 4.46879633 -0.56173902
484 2.30197757 4.47479633 -0.56631050
485 2.28558747 4.48079633 -0.58462076
486 2.28051995 4.48679633 -0.59356392
487 2.26434443 4.49279633 -0.61126309
488 2.28739785 4.49879633 -0.59767831
489 2.31264948 4.50479633 -0.58213379
490 2.30360907 4.51079633 -0.59429674
491 2.33038839 4.51679633 -0.57745796
492 2.31265993 4.52279633 -0.59666598
493 2.30869622 4.52879633 -0.60463201
494 2.30991271 4.53479633 -0.60843517
495 2.30270590 4.54079633 -0.61886277
496 2.31419738 4.54679633 -0.61453991
497 2.33234377 4.55279633 -0.60491270
498 2.31294924 4.55879633 -0.62493694
499 2.33401096 4.56479633 -0.61310820
500 2.34466484 4.57079633 -0.60942501
501 2.32036399 4.57679633 -0.63316542
502 2.31734271 4.58279633 -0.64012218
503 2.31752369 4.58879633 -0.64458192
504 2.28588924 4.59479633 -0.67289157
505 2.28647175 4.60079633 -0.67688921
506 2.30063895 4.60679633 -0.67085495
507 2.32055326 4.61279633 -0.66047165
508 2.32902271 4.61879633 -0.65861544
509 2.31327353 4.62479633 -0.67482421
510 2.34060777 4.63079633 -0.65892763
511 2.32946992 4.63679633 -0.67172143
512 2.31872683 4.64279633 -0.68403005
513 2.29534209 4.64879633 -0.70516648
514 2.30051332 4.65479633 -0.70575387
515 2.29118076 4.66079633 -0.71653295
516 2.29225005 4.66679633 -0.71996366
517 2.31250574 4.67279633 -0.70999722
