# t theta_S theta_L C
0 5.87722449 0.78539816 0.37039789
1 5.88284713 0.78539816 0.37561473
2 6.04942805 0.78539816 0.52408544
3 6.15973122 0.78539816 0.61465150
4 6.13701177 0.78539816 0.59657334
5 6.11173951 0.78539816 0.57610252
6 6.11233483 0.78539816 0.57658902
7 6.13132689 0.78539816 0.59200127
8 6.13602862 0.78539816 0.59578402
9 6.14574943 0.78539816 0.60356296
10 6.17451526 0.78539816 0.62624554
11 6.17973453 0.78539816 0.63030606
12 6.15720066 0.78539816 0.61265343
13 6.18995043 0.78539816 0.63820411
14 6.22002272 0.78539816 0.66106374
15 6.17286673 0.78539816 0.62495945
16 6.17373782 0.78539816 0.62563924
17 6.15735924 0.78539816 0.61277875
18 6.17369315 0.78539816 0.62560439
19 6.19711363 0.78539816 0.64370241
20 6.18832238 0.78539816 0.63694989
21 6.18424849 0.78539816 0.63380403
22 6.17778972 0.78539816 0.62879503
23 6.18125826 0.78539816 0.63148828
24 6.17123811 0.78539816 0.62368723
25 6.18088885 0.78539816 0.63120180
26 6.19514524 0.78539816 0.64219480
27 6.18284278 0.78539816 0.63271609
28 6.15834610 0.78539816 0.61355833
29 6.15555582 0.78539816 0.61135260
30 6.15367362 0.78539816 0.60986202
31 6.13792646 0.78539816 0.59730718
32 6.13744600 0.78539816 0.59692178
33 6.15920138 0.78539816 0.61423347
34 6.18881750 0.78539816 0.63733151
35 6.16752714 0.78539816 0.62078217
36 6.16172553 0.78539816 0.61622338
37 6.17086935 0.78539816 0.62339893
38 6.15444132 0.78539816 0.61047025
39 6.16329496 0.78539816 0.61745866
40 6.16178560 0.78539816 0.61627069
41 6.14895743 0.78539816 0.60611764
42 6.15566481 0.78539816 0.61143885
43 6.16797317 0.78539816 0.62113179
44 6.14122243 0.78539816 0.59994734
45 6.15432032 0.78539816 0.61037441
46 6.15742966 0.78539816 0.61283440
47 6.13152265 0.78539816 0.59215903
48 6.13242702 0.78539816 0.59288755
49 6.11556920 0.78539816 0.57922860
50 6.09978106 0.78539816 0.56628700
51 6.11183634 0.78539816 0.57618167
52 6.11660560 0.78539816 0.58007312
53 6.12457389 0.78539816 0.58654533
54 6.12679529 0.78539816 0.58834302
55 6.10447047 0.78539816 0.57014581
56 6.10884075 0.78539816 0.57373073
57 6.14121288 0.78539816 0.59993970
58 6.15067071 0.78539816 0.60747945
59 6.15096038 0.78539816 0.60770952
60 6.14955980 0.78539816 0.60659664
61 6.13520664 0.78539816 0.59512365
62 6.13021509 0.78539816 0.59110487
63 6.15174514 0.78539816 0.60833256
64 6.12599892 0.78539816 0.58769888
65 6.14831397 0.78539816 0.60560572
66 6.13859232 0.78539816 0.59784107
67 6.15190608 0.78539816 0.60846028
68 6.17741423 0.78539816 0.62850302
69 6.19745442 0.78539816 0.64396317
70 6.18871943 0.78539816 0.63725593
71 6.19738722 0.78539816 0.64391176
72 6.18431727 0.78539816 0.63385723
73 6.19894371 0.78539816 0.64510185
74 6.22789123 0.78539816 0.66694720
75 6.25450101 0.78539816 0.68653582
76 6.24126329 0.78539816 0.67685086
77 6.23040017 0.78539816 0.66881452
78 6.21313897 0.78539816 0.65588304
79 6.21675130 0.78539816 0.65860557
80 6.19686214 0.78539816 0.64350993
81 6.19810319 0.78539816 0.64445938
82 6.19237223 0.78539816 0.64006671
83 6.21699191 0.78539816 0.65878660
84 6.18854222 0.78539816 0.63711935
85 6.20603764 0.78539816 0.65050602
86 6.20148842 0.78539816 0.64704416
87 6.21463077 0.78539816 0.65700841
88 6.19414186 0.78539816 0.64142535
89 6.17929782 0.78539816 0.62996697
90 6.15859300 0.78539816 0.61375328
91 6.14333506 0.78539816 0.60163618
92 6.14831905 0.78539816 0.60560976
93 6.14243299 0.78539816 0.60091540
94 6.15053482 0.78539816 0.60737150
95 6.14802282 0.78539816 0.60537401
96 6.13869177 0.78539816 0.59792080
97 6.14601000 0.78539816 0.60377069
98 6.13250745 0.78539816 0.59295232
99 6.10974191 0.78539816 0.57446858
100 6.13523237 0.78539816 0.59514432
101 6.13792927 0.78539816 0.59730943
102 6.13382705 0.78539816 0.59401439
103 6.16028997 0.78539816 0.61509214
104 6.16500383 0.78539816 0.61880197
105 6.16532376 0.78539816 0.61905325
106 6.18115423 0.78539816 0.63140761
107 6.18959881 0.78539816 0.63793338
108 6.19401641 0.78539816 0.64132910
109 6.21184918 0.78539816 0.65490888
110 6.22812681 0.78539816 0.66712271
111 6.22956345 0.78539816 0.66819224
112 6.21090210 0.78539816 0.65419287
113 6.21255014 0.78539816 0.65543844
114 6.24517582 0.78539816 0.67972576
115 6.22804788 0.78539816 0.66706391
116 6.22093400 0.78539816 0.66174723
117 6.20237241 0.78539816 0.64771791
118 6.22671091 0.78539816 0.66606726
119 6.22539709 0.78539816 0.66508672
120 6.21932643 0.78539816 0.66054113
121 6.21084268 0.78539816 0.65414793
122 6.20809918 0.78539816 0.65207038
123 6.21665047 0.78539816 0.65852969
124 6.20735342 0.78539816 0.65150479
125 6.20267921 0.78539816 0.64795162
126 6.19220366 0.78539816 0.63993718
127 6.21509130 0.78539816 0.65735553
128 6.21359582 0.78539816 0.65622783
129 6.21944689 0.78539816 0.66063157
130 6.22885307 0.78539816 0.66766356
131 6.23624236 0.78539816 0.67314633
132 6.20808680 0.78539816 0.65206099
133 6.20875927 0.78539816 0.65257069
134 6.20455074 0.78539816 0.64937600
135 6.21347058 0.78539816 0.65613332
136 6.22539366 0.78539816 0.66508417
137 6.21578377 0.78539816 0.65787720
138 6.23079089 0.78539816 0.66910494
139 6.21993297 0.78539816 0.66099640
140 6.23347121 0.78539816 0.67109446
141 6.25966480 0.78539816 0.69028122
142 6.27408483 0.78539816 0.70064258
143 6.27258329 0.78539816 0.69957043
144 6.27324551 0.78539816 0.70004347
145 6.28170143 0.78539816 0.70605674
146 6.25718550 0.78539816 0.68848522
147 6.26710166 0.78539816 0.69564296
148 0.00038442 0.78539816 0.70737856
149 6.27822228 0.78539816 0.70358869
150 0.00037205 0.78539816 0.70736981
151 6.27486226 0.78539816 0.70119707
152 0.00388763 0.78539816 0.70985040
153 6.27838624 0.78539816 0.70370520
154 6.27080275 0.78539816 0.69829701
155 0.00064211 0.78539816 0.70756067
156 6.27775387 0.78539816 0.70325576
157 0.01181265 0.78539816 0.71541006
